product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
bowtie-bowtie-collection,Pink Bowtie Bowtie Collection,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/bowtie_green-bowtie-collection_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/bowtie_pink-bowtie-collection_1.0.jpg,,,,,,,,,,
bowtie-bow-tie-collection,Purple Bowtie Bow Tie Collection,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/bowtie_purple-bow-tie-collection_1.0.jpg,,,,,,,,,,,
bowtie-bowtie,Red Bowtie Bowtie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/bowtie_red-bowtie_1.0.jpg,,,,,,,,,,,
bowtie-bowtie-or-tie,Black Bowtie Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/bowtie_black-bowtie-or-tie_1.0.jpg,,,,,,,,,,,
bowtie-all-color-bowties,Bowtie All Color Bowties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/bowtie_all-color-bowties_1.0.jpg,,,,,,,,,,,
bowtie-bowties-collection,Blue Bowtie Bowties Collection,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/bowtie_blue-bowties-collection_1.0.jpg,,,,,,,,,,,
jacket-velvet-jacket-bowtie,Royal Blue Jacket Velvet Jacket Bowtie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/jacket_royal-blue-velvet-jacket-bowtie_1.0.jpg,,,,,,,,,,,
nan-all-color-bowties,Nan All Color Bowties,10,10,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_all-color-bowties_4.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_all-color-bowties_9.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_all-color-bowties_10.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_all-color-bowties_12.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_all-color-bowties_14.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_all-color-bowties_16.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_all-color-bowties_11.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_all-color-bowties_13.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_all-color-bowties_15.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_all-color-bowties_17.0.jpg,,
nan-aqua-bowtie-or-tie,Nan Aqua Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_aqua-bowtie-or-tie_2.0.jpg,,,,,,,,,,,
nan-aqua-bowtie-solo-ties,Nan Aqua Bowtie Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_aqua-bowtie-solo-ties_2.0.jpg,,,,,,,,,,,
nan-apple-solo-ties,Red Nan Apple Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_apple-red-solo-ties_2.0.jpg,,,,,,,,,,,
nan-apple-bowtie-or-tie,Red Nan Apple Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_apple-red-bowtie-or-tie_2.0.jpg,,,,,,,,,,,
nan-baby-bowtie-or-tie,Blue Nan Baby Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_baby-blue-bowtie-or-tie_4.0.jpg,,,,,,,,,,,
nan-bow-tie,Peach Nan Bow Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_peach-bow-tie_1.0.png,,,,,,,,,,,
nan-baby-solo-ties,Blue Nan Baby Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_baby-blue-solo-ties_2.0.jpg,,,,,,,,,,,
nan-blush-bowtie-or-tie,Nan Blush Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_blush-bowtie-or-tie_1.0.jpg,,,,,,,,,,,
nan-bow-tie-collection,Red Orange Nan Bow Tie Collection,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_purple-bow-tie-collection_6.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_red-orange-bow-tie-collection_3.0.jpg,,,,,,,,,,
nan-banana-solo-ties,Yellow Nan Banana Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_banana-yellow-solo-ties_2.0.jpg,,,,,,,,,,,
